sensor_id,timestamp,temperature,fault_type,sequence_id
DHT22-1,2025-03-03T00:00:00,68.36,stuck_at,0
DHT22-1,2025-03-03T00:00:02,60.52,normal,0
DHT22-1,2025-03-03T00:00:04,66.62,normal,0
DHT22-1,2025-03-03T00:00:06,67.28,normal,0
DHT22-1,2025-03-03T00:00:08,57.57,normal,0
DHT22-1,2025-03-03T00:00:10,65.48,normal,0
DHT22-1,2025-03-03T00:00:12,60.7,normal,0
DHT22-1,2025-03-03T00:00:14,60.7,stuck_at,0
DHT22-1,2025-03-03T00:00:16,66.21,normal,0
DHT22-1,2025-03-03T00:00:18,57.5,normal,0
DHT22-1,2025-03-03T00:00:20,45.87,normal,1
DHT22-1,2025-03-03T00:00:22,78.4,normal,1
DHT22-1,2025-03-03T00:00:24,63.97,normal,1
DHT22-1,2025-03-03T00:00:26,62.68,normal,1
DHT22-1,2025-03-03T00:00:28,62.12,noise,1
DHT22-1,2025-03-03T00:00:30,79.6,normal,1
DHT22-1,2025-03-03T00:00:32,62.15,normal,1
DHT22-1,2025-03-03T00:00:34,46.38,normal,1
DHT22-1,2025-03-03T00:00:36,59.36,normal,1
DHT22-1,2025-03-03T00:00:38,74.37,normal,1
DHT22-1,2025-03-03T00:00:40,77.66,normal,2
DHT22-1,2025-03-03T00:00:42,77.66,stuck_at,2
DHT22-1,2025-03-03T00:00:44,46.93,normal,2
DHT22-1,2025-03-03T00:00:46,60.15,normal,2
DHT22-1,2025-03-03T00:00:48,45.1,normal,2
DHT22-1,2025-03-03T00:00:50,47.87,normal,2
DHT22-1,2025-03-03T00:00:52,76.27,normal,2
DHT22-1,2025-03-03T00:00:54,48.44,normal,2
DHT22-1,2025-03-03T00:00:56,49.43,drift,2
DHT22-1,2025-03-03T00:00:58,53.64,normal,2
DHT22-1,2025-03-03T00:01:00,74.49,normal,3
DHT22-1,2025-03-03T00:01:02,69.02,normal,3
DHT22-1,2025-03-03T00:01:04,62.71,normal,3
DHT22-1,2025-03-03T00:01:06,55.42,normal,3
DHT22-1,2025-03-03T00:01:08,49.71,normal,3
DHT22-1,2025-03-03T00:01:10,49.71,stuck_at,3
DHT22-1,2025-03-03T00:01:12,79.59,normal,3
DHT22-1,2025-03-03T00:01:14,57.56,normal,3
DHT22-1,2025-03-03T00:01:16,74.26,normal,3
DHT22-1,2025-03-03T00:01:18,72.53,normal,3
DHT22-1,2025-03-03T00:01:20,74.38,normal,4
DHT22-1,2025-03-03T00:01:22,54.94,normal,4
DHT22-1,2025-03-03T00:01:24,64.94,calibration,4
DHT22-1,2025-03-03T00:01:26,53.62,normal,4
DHT22-1,2025-03-03T00:01:28,51.77,normal,4
DHT22-1,2025-03-03T00:01:30,46.19,normal,4
DHT22-1,2025-03-03T00:01:32,57.23,normal,4
DHT22-1,2025-03-03T00:01:34,45.89,normal,4
DHT22-1,2025-03-03T00:01:36,52.98,normal,4
DHT22-1,2025-03-03T00:01:38,53.41,noise,4
DHT22-1,2025-03-03T00:01:40,62.67,normal,5
DHT22-1,2025-03-03T00:01:42,73.5,normal,5
DHT22-1,2025-03-03T00:01:44,46.29,normal,5
DHT22-1,2025-03-03T00:01:46,54.61,normal,5
DHT22-1,2025-03-03T00:01:48,53.46,normal,5
DHT22-1,2025-03-03T00:01:50,53.81,normal,5
DHT22-1,2025-03-03T00:01:52,63.81,calibration,5
DHT22-1,2025-03-03T00:01:54,54.11,normal,5
DHT22-1,2025-03-03T00:01:56,50.21,normal,5
DHT22-1,2025-03-03T00:01:58,55.5,normal,5
DHT22-1,2025-03-03T00:02:00,75.63,normal,6
DHT22-1,2025-03-03T00:02:02,56.97,normal,6
DHT22-1,2025-03-03T00:02:04,75.77,normal,6
DHT22-1,2025-03-03T00:02:06,76.28,noise,6
DHT22-1,2025-03-03T00:02:08,51.94,normal,6
DHT22-1,2025-03-03T00:02:10,46.88,normal,6
DHT22-1,2025-03-03T00:02:12,67.44,normal,6
DHT22-1,2025-03-03T00:02:14,65.11,normal,6
DHT22-1,2025-03-03T00:02:16,51.48,normal,6
DHT22-1,2025-03-03T00:02:18,76.88,normal,6
DHT22-1,2025-03-03T00:02:20,198.71,out_of_range,7
DHT22-1,2025-03-03T00:02:22,70.15,normal,7
DHT22-1,2025-03-03T00:02:24,50.83,normal,7
DHT22-1,2025-03-03T00:02:26,68.17,normal,7
DHT22-1,2025-03-03T00:02:28,72.33,normal,7
DHT22-1,2025-03-03T00:02:30,51.94,normal,7
DHT22-1,2025-03-03T00:02:32,56.22,normal,7
DHT22-1,2025-03-03T00:02:34,186.5,out_of_range,7
DHT22-1,2025-03-03T00:02:36,69.03,normal,7
DHT22-1,2025-03-03T00:02:38,62.97,normal,7
DHT22-1,2025-03-03T00:02:40,57.49,normal,8
DHT22-1,2025-03-03T00:02:42,78.89,normal,8
DHT22-1,2025-03-03T00:02:44,62.01,normal,8
DHT22-1,2025-03-03T00:02:46,67.8,normal,8
DHT22-1,2025-03-03T00:02:48,68.72,noise,8
DHT22-1,2025-03-03T00:02:50,54.03,normal,8
DHT22-1,2025-03-03T00:02:52,57.36,normal,8
DHT22-1,2025-03-03T00:02:54,79.53,normal,8
DHT22-1,2025-03-03T00:02:56,69.01,normal,8
DHT22-1,2025-03-03T00:02:58,67.78,normal,8
DHT22-1,2025-03-03T00:03:00,66.75,normal,9
DHT22-1,2025-03-03T00:03:02,66.75,stuck_at,9
DHT22-1,2025-03-03T00:03:04,78.48,normal,9
DHT22-1,2025-03-03T00:03:06,78.41,normal,9
DHT22-1,2025-03-03T00:03:08,72.41,normal,9
DHT22-1,2025-03-03T00:03:10,61.97,normal,9
DHT22-1,2025-03-03T00:03:12,46.03,normal,9
DHT22-1,2025-03-03T00:03:14,49.06,normal,9
DHT22-1,2025-03-03T00:03:16,59.06,calibration,9
DHT22-1,2025-03-03T00:03:18,56.83,normal,9
DHT22-1,2025-03-03T00:03:20,53.88,normal,10
DHT22-1,2025-03-03T00:03:22,77.63,normal,10
DHT22-1,2025-03-03T00:03:24,49.9,normal,10
DHT22-1,2025-03-03T00:03:26,77.62,normal,10
DHT22-1,2025-03-03T00:03:28,62.52,normal,10
DHT22-1,2025-03-03T00:03:30,72.52,calibration,10
DHT22-1,2025-03-03T00:03:32,62.26,normal,10
DHT22-1,2025-03-03T00:03:34,78.25,normal,10
DHT22-1,2025-03-03T00:03:36,76.95,normal,10
DHT22-1,2025-03-03T00:03:38,61.35,normal,10
DHT22-1,2025-03-03T00:03:40,70.68,normal,11
DHT22-1,2025-03-03T00:03:42,60.92,normal,11
DHT22-1,2025-03-03T00:03:44,64.95,intermittent,11
DHT22-1,2025-03-03T00:03:46,50.08,normal,11
DHT22-1,2025-03-03T00:03:48,60.95,normal,11
DHT22-1,2025-03-03T00:03:50,75.58,normal,11
DHT22-1,2025-03-03T00:03:52,64.46,normal,11
DHT22-1,2025-03-03T00:03:54,74.76,normal,11
DHT22-1,2025-03-03T00:03:56,70.43,normal,11
DHT22-1,2025-03-03T00:03:58,167.85,out_of_range,11
DHT22-1,2025-03-03T00:04:00,74.0,normal,12
DHT22-1,2025-03-03T00:04:02,69.81,normal,12
DHT22-1,2025-03-03T00:04:04,68.72,normal,12
DHT22-1,2025-03-03T00:04:06,46.59,normal,12
DHT22-1,2025-03-03T00:04:08,74.31,normal,12
DHT22-1,2025-03-03T00:04:10,70.04,normal,12
DHT22-1,2025-03-03T00:04:12,68.78,noise,12
DHT22-1,2025-03-03T00:04:14,73.67,normal,12
DHT22-1,2025-03-03T00:04:16,51.09,normal,12
DHT22-1,2025-03-03T00:04:18,72.97,normal,12
DHT22-1,2025-03-03T00:04:20,65.71,normal,13
DHT22-1,2025-03-03T00:04:22,50.48,normal,13
DHT22-1,2025-03-03T00:04:24,45.77,normal,13
DHT22-1,2025-03-03T00:04:26,45.77,stuck_at,13
DHT22-1,2025-03-03T00:04:28,71.39,normal,13
DHT22-1,2025-03-03T00:04:30,73.27,normal,13
DHT22-1,2025-03-03T00:04:32,77.2,normal,13
DHT22-1,2025-03-03T00:04:34,51.23,normal,13
DHT22-1,2025-03-03T00:04:36,53.62,normal,13
DHT22-1,2025-03-03T00:04:38,55.4,normal,13
DHT22-1,2025-03-03T00:04:40,56.4,noise,14
DHT22-1,2025-03-03T00:04:42,73.57,normal,14
DHT22-1,2025-03-03T00:04:44,69.42,normal,14
DHT22-1,2025-03-03T00:04:46,52.43,normal,14
DHT22-1,2025-03-03T00:04:48,73.03,normal,14
DHT22-1,2025-03-03T00:04:50,68.35,normal,14
DHT22-1,2025-03-03T00:04:52,64.33,normal,14
DHT22-1,2025-03-03T00:04:54,64.33,stuck_at,14
DHT22-1,2025-03-03T00:04:56,58.48,normal,14
DHT22-1,2025-03-03T00:04:58,59.13,normal,14
DHT22-1,2025-03-03T00:05:00,74.83,normal,15
DHT22-1,2025-03-03T00:05:02,62.05,normal,15
DHT22-1,2025-03-03T00:05:04,66.0,normal,15
DHT22-1,2025-03-03T00:05:06,66.31,normal,15
DHT22-1,2025-03-03T00:05:08,67.07,drift,15
DHT22-1,2025-03-03T00:05:10,78.14,normal,15
DHT22-1,2025-03-03T00:05:12,77.65,normal,15
DHT22-1,2025-03-03T00:05:14,51.46,normal,15
DHT22-1,2025-03-03T00:05:16,49.54,normal,15
DHT22-1,2025-03-03T00:05:18,60.33,normal,15
DHT22-1,2025-03-03T00:05:20,47.29,normal,16
DHT22-1,2025-03-03T00:05:22,47.29,intermittent,16
DHT22-1,2025-03-03T00:05:24,55.9,normal,16
DHT22-1,2025-03-03T00:05:26,56.02,normal,16
DHT22-1,2025-03-03T00:05:28,75.77,normal,16
DHT22-1,2025-03-03T00:05:30,45.31,normal,16
DHT22-1,2025-03-03T00:05:32,70.67,normal,16
DHT22-1,2025-03-03T00:05:34,62.73,normal,16
DHT22-1,2025-03-03T00:05:36,62.22,noise,16
DHT22-1,2025-03-03T00:05:38,50.73,normal,16
DHT22-1,2025-03-03T00:05:40,46.04,normal,17
DHT22-1,2025-03-03T00:05:42,47.23,normal,17
DHT22-1,2025-03-03T00:05:44,70.92,normal,17
DHT22-1,2025-03-03T00:05:46,72.86,normal,17
DHT22-1,2025-03-03T00:05:48,73.26,normal,17
DHT22-1,2025-03-03T00:05:50,74.12,noise,17
DHT22-1,2025-03-03T00:05:52,51.95,normal,17
DHT22-1,2025-03-03T00:05:54,77.11,normal,17
DHT22-1,2025-03-03T00:05:56,72.36,normal,17
DHT22-1,2025-03-03T00:05:58,64.59,normal,17
DHT22-1,2025-03-03T00:06:00,57.8,normal,18
DHT22-1,2025-03-03T00:06:02,70.25,normal,18
DHT22-1,2025-03-03T00:06:04,70.83,noise,18
DHT22-1,2025-03-03T00:06:06,55.79,normal,18
DHT22-1,2025-03-03T00:06:08,75.27,normal,18
DHT22-1,2025-03-03T00:06:10,68.72,normal,18
DHT22-1,2025-03-03T00:06:12,62.37,normal,18
DHT22-1,2025-03-03T00:06:14,76.65,normal,18
DHT22-1,2025-03-03T00:06:16,50.3,normal,18
DHT22-1,2025-03-03T00:06:18,60.3,calibration,18
DHT22-1,2025-03-03T00:06:20,75.22,normal,19
DHT22-1,2025-03-03T00:06:22,48.72,normal,19
DHT22-1,2025-03-03T00:06:24,62.7,normal,19
DHT22-1,2025-03-03T00:06:26,62.79,normal,19
DHT22-1,2025-03-03T00:06:28,63.72,normal,19
DHT22-1,2025-03-03T00:06:30,69.65,normal,19
DHT22-1,2025-03-03T00:06:32,69.65,stuck_at,19
DHT22-1,2025-03-03T00:06:34,77.89,normal,19
DHT22-1,2025-03-03T00:06:36,57.31,normal,19
DHT22-1,2025-03-03T00:06:38,62.06,normal,19
DHT22-1,2025-03-03T00:06:40,52.34,normal,20
DHT22-1,2025-03-03T00:06:42,46.8,normal,20
